PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,ML,Mw,Mo,CD,NS,DC,Mxx,Mxy,Mxz,Myy,Myz,Mzz,VR,Tva,Tpl,Taz,Nva,Npl,Naz,Pva,Ppl,Paz,Method
3134797,20090805083100,-45.44,166.121,32,31,121,177,64,73,5.9,6.1,1.65E+025,8,12,99,3621.88,36888.45,27044.56,-129317.06,93342.89,125695.18,91,164894.22,67,55,-715.04,15,184,-164179.19,17,280,1
3143806,20090825045700,-46.2679,166.2269,145,89,70,53,20,177,5.5,5.2,6.28E+023,10,10,93,1891.52,826.28,3467.59,-2148.27,4752.03,256.75,92,6391.14,42,36,-231.93,20,145,-6159.21,41,254,1
3352355,20090715135000,-45.4429,166.5471,16,28,110,174,64,80,5.6,5.5,1.93E+024,12,13,77,2670.24,1416.9,2079.64,-16506.13,11573.5,13835.89,84,18126.79,69,63,2309.82,9,178,-20436.61,18,272,1
3468575,20110221235100,-43.566,172.6909,55,66,129,172,44,35,6.3,6.2,2.46E+025,4,12,65,43651.72,136956.64,115281.96,-184720.34,-43766.79,141068.62,90,222143.34,53,11,46774.92,34,217,-268918.28,13,118,1
3468581,20110222000400,-43.5892,172.6605,67,84,164,159,74,6,5.8,5.5,2.33E+024,4,13,90,14232.28,16150.08,6380.69,-16548.83,-667.84,2316.56,84,22706.17,16,22,1144.94,73,227,-23851.11,7,114,1
3468635,20110222015000,-43.5904,172.6336,247,81,-158,154,69,-9,5.9,5.6,3.28E+024,4,13,78,22599.72,19903.36,8834.88,-21976.37,-10818.88,-623.36,91,30869.82,8,19,3893.46,67,268,-34763.28,21,112,1
3525264,20110605210900,-43.6051,172.4125,259,83,-153,165,63,-8,5.5,5.1,4.74E+023,4,12,62,1584.49,3766.7,1983.58,-1741.91,-1512.63,157.42,90,4242.63,14,29,992.46,62,272,-5235.09,24,125,1
3528810,20110613010100,-43.5684,172.7531,142,65,-2,233,88,-155,5.8,5.3,9.98E+023,5,14,55,9947.25,2039.5,3943.94,-7789.57,-1573.12,-2157.67,63,11240.1,16,5,-2525.81,65,237,-8714.3,19,100,1
3528839,20110613022000,-43.5638,172.7431,161,67,6,68,84,157,6.4,6,1.05E+025,4,19,30,40328.64,78312.09,26592.89,-82686.66,-25379.06,42358.03,87,83105.89,21,22,44661.69,66,234,-127767.58,12,117,1
3533107,20110621103400,-43.5988,172.5249,270,80,-171,178,81,-10,5.4,5.2,6.73E+023,6,15,45,-535.65,6468.88,1494.49,-1096.82,-1599.61,1632.46,87,5658.93,1,224,2140.29,76,316,-7799.22,14,134,1
3631359,20111223005800,-43.4862,172.7957,45,63,105,194,31,63,5.8,5.8,5.85E+024,2,9,58,-3772.65,32234.44,24694.35,-36026.38,-21652.25,39799.03,93,51583.46,68,346,13832.72,14,217,-65416.18,17,124,1
3631363,20111223010600,-43.4729,172.8406,41,43,103,205,48,79,5.5,5.4,1.22E+024,4,11,95,-3579.19,5429.3,929.69,-8432.76,1980.72,12011.94,93,12345.16,82,50,-335.88,8,212,-12009.28,3,303,1
3631380,20111223021800,-43.53,172.7428,57,51,123,191,49,56,6.1,5.9,7.01E+024,5,12,49,-7057.77,50230.23,13344.04,-45837.22,7284.82,52895,90,59940.81,65,32,20367.5,25,214,-80308.31,1,124,1
2012p001887,20120101164500,-43.4672,172.8085,64,58,131,186,50,44,5.5,5.1,5.74E+023,8,10,40,-378.58,4516.38,1463.71,-3466.6,112.28,3845.19,61,4733.47,56,30,2017.5,33,219,-6750.97,5,127,1
2012p049665,20120119090100,-46.9238,165.6785,5,39,129,139,61,63,5.6,5.2,8.26E+023,18,7,71,1166.87,-3341.83,3288.41,-7081.13,2051.01,5914.25,87,7603.41,63,3,1304.2,23,152,-8907.62,12,248,1
2012p065547,20120125060200,-46.8245,165.6631,10,38,118,156,57,70,5.8,5.4,1.22E+024,22,6,27,5287.28,-2978.79,1759.53,-13680.2,3848.55,8392.92,86,9455.3,70,20,5396.61,17,167,-14851.91,10,260,1
2013p537512,20130718210600,-41.549,174.4079,205,47,123,342,52,60,5.7,5.5,1.81E+024,21,12,66,5299.14,1387.63,-4669.51,-19628.49,-1903.94,14329.35,71,16455.67,67,189,3331.03,23,1,-19786.7,3,93,1
2013p542711,20130720191700,-41.5564,174.4046,212,56,122,344,46,52,5.8,5.8,4.99E+024,17,9,20,24913.43,14862.77,-6448.33,-58986.74,8340.18,34073.31,76,37407.15,63,179,25035.69,26,12,-62442.83,5,280,1
2013p543824,20130721050900,-41.5957,174.3287,233,75,162,328,73,15,6.5,6.6,1.02E+026,21,17,59,740395.5,348186.89,-241882.15,-1071006.41,-1406.07,330610.91,81,-1136900.29,23,191,904021.67,67,13,232878.63,1,281,1
2013p613797,20130816023100,-41.734,174.1522,238,70,171,331,81,21,6.6,6.6,1.04E+026,15,19,90,768514.59,474031.27,-271696.26,-920667.17,-239141.48,152152.58,79,-1067285.13,21,197,1015396.18,68,354,51888.96,8,103,1
2013p613824,20130816024500,-41.7638,174.1168,54,68,164,150,75,22,5.4,5.5,2.37E+024,5,8,91,17095.07,8473.7,8155.26,-22282.46,3895.76,5187.4,85,23150.39,27,13,1048.71,63,181,-24199.09,5,281,1
2013p613867,20130816030900,-41.742,174.0495,59,77,175,150,86,13,5.5,5.9,6.76E+024,7,10,71,60096.61,32825.51,15630.22,-52962.91,10094.92,-7133.7,80,72871.43,12,15,-10458.37,76,166,-62413.06,6,284,1
2013p613947,20130816035100,-41.6952,174.1742,45,67,-166,309,77,-24,5.6,5.2,6.6E+023,16,6,76,6043.99,-680.99,881.58,-5450.6,3084.49,-593.39,89,6166.57,7,358,857.6,63,101,-7024.17,26,266,1
2013p614135,20130816053100,-41.6688,174.2623,242,75,162,337,73,15,6,5.9,8.03E+024,18,11,54,45301.07,48382.5,-17552.95,-73505.1,-2382.95,28204.03,80,69758.39,23,200,21069.92,67,22,-90828.31,1,290,1
2013p614294,20130816065500,-41.6771,174.2889,54,78,179,144,89,12,5.5,5.4,1.41E+024,14,6,70,12011.27,4301.55,1241.44,-14240.98,2673.62,2229.72,80,12956.32,9,10,2314.85,78,148,-15271.17,8,278,1
2013p617227,20130817085800,-41.7699,174.0486,225,77,-178,134,88,-13,5.5,5.2,8.13E+023,13,10,58,7085.74,-171.88,-730.11,-8728.69,-1935.89,1642.95,84,7182.42,8,180,1901.36,77,305,-9083.78,11,89,1
2013p944608,20131216120700,-46.2803,166.0419,34,40,142,155,66,56,6.2,5.7,3.64E+024,17,12,95,9684.38,3650.28,16599.51,-32003.75,15029.11,22319.37,89,36829.73,56,22,-935.97,30,170,-35893.75,15,269,1
2014p051675,20140120025200,-40.6206,175.865,213,64,-100,55,27,-70,6.2,6.3,3.23E+025,21,14,81,132112.73,-111772.85,81271.96,131315.74,-184112.83,-263428.47,77,307189.48,19,310,31521.12,9,217,-338710.6,69,103,1
2014p240655,20140331010100,-39.9703,176.5519,201,41,99,9,50,82,5.2,5.2,8.35E+023,20,10,84,136.77,2349.32,-397.23,-7968.44,-1431.82,7831.67,84,-8699.56,82,232,690.51,6,14,8009.05,5,105,1
2014p715167,20140922144100,-40.5405,175.9324,3,84,-77,116,14,-157,5.5,5.5,1.73E+024,15,9,91,312.39,3782.9,-1557.9,3303.28,16438.7,-3615.67,73,-17677.2,38,81,798.27,13,181,16878.93,49,287,1
2014p770859,20141013051300,-46.2895,165.8666,11,34,124,152,62,69,6.2,5.8,4.85E+024,19,13,71,9664.63,-10384.92,15878.63,-44660.81,19425.08,34996.17,86,-52266.56,66,24,7563.73,18,162,44702.83,15,257,1
2015p012816,20150105174800,-43.0579,171.252,84,84,-156,352,66,-6,6,5.6,3.24E+024,9,14,72,10842.96,28816.11,-12054.48,-4540.88,1540.44,-6302.07,88,34836.89,12,216,-29940.32,65,97,-4896.57,21,311,1
2015p332712,20150504022900,-44.5366,168.8369,261,81,163,354,73,9,5.8,5.6,2.68E+024,9,16,75,6734.12,24207.92,-9070.91,-6165.79,-4179.35,-568.33,87,28598.84,19,217,-24985.67,71,54,-3613.17,6,308,1
2015p768477,20151012080500,-40.5781,176.3257,255,27,143,19,74,68,5.7,5.7,3.79E+024,14,13,77,-12899.72,14123.15,3886.16,-6967.67,-30500.68,19867.38,75,-35561.82,56,261,-4606.73,21,25,40168.55,26,126,1
